date,open,high,low,close,volume,amount
2026-04-08 10:00:00+08:00,475.1,490.37,469.09,489.4,19614500.0,9412669440.0
2026-04-08 10:30:00+08:00,489.1,489.89,482.5,484.98,4465400.0,2172024320.0
2026-04-08 11:00:00+08:00,485.05,487.5,482.7,485.49,1678700.0,814604224.0
2026-04-08 11:30:00+08:00,485.43,492.0,485.0,491.71,3665800.0,1793983232.0
2026-04-08 13:30:00+08:00,491.69,497.5,490.0,494.86,3863200.0,1907259392.0
2026-04-08 14:00:00+08:00,494.88,498.6,494.8,497.9,3210400.0,1596360192.0
2026-04-08 14:30:00+08:00,497.9,498.97,493.08,498.8,3401600.0,1689085184.0
2026-04-08 15:00:00+08:00,498.81,502.0,497.95,501.5,7040300.0,3520056576.0
2026-04-09 10:00:00+08:00,491.3,496.64,488.0,493.0,10273800.0,5053602816.0
2026-04-09 10:30:00+08:00,492.78,493.5,489.4,490.58,3788300.0,1859927552.0
2026-04-09 11:00:00+08:00,490.58,497.03,489.96,496.13,3448900.0,1704421504.0
2026-04-09 11:30:00+08:00,496.11,496.96,492.81,494.01,1599300.0,791707456.0
2026-04-09 13:30:00+08:00,494.01,495.99,492.88,494.5,1801100.0,890117120.0
2026-04-09 14:00:00+08:00,494.78,497.8,493.29,493.47,2345700.0,1161998592.0
2026-04-09 14:30:00+08:00,493.39,495.95,491.19,491.96,2433800.0,1200122624.0
2026-04-09 15:00:00+08:00,492.02,492.81,489.65,490.0,4150700.0,2036089600.0
2026-04-10 10:00:00+08:00,493.0,498.43,485.0,498.32,10264800.0,5042845696.0
2026-04-10 10:30:00+08:00,498.6,508.0,496.5,502.85,7361400.0,3702108160.0
2026-04-10 11:00:00+08:00,502.38,509.77,499.09,505.44,4295200.0,2168390144.0
2026-04-10 11:30:00+08:00,505.44,508.99,500.29,506.31,2306200.0,1162650624.0
2026-04-10 13:30:00+08:00,506.31,520.88,506.31,514.1,6954500.0,3576559360.0
2026-04-10 14:00:00+08:00,514.11,521.53,514.11,520.28,4037300.0,2093639424.0
2026-04-10 14:30:00+08:00,520.88,526.28,518.9,523.91,4312800.0,2257443584.0
2026-04-10 15:00:00+08:00,524.45,528.0,520.33,522.5,4952200.0,2591058688.0
2026-04-13 10:00:00+08:00,518.0,522.0,500.01,506.3,17567600.0,8931146752.0
2026-04-13 10:30:00+08:00,506.58,510.5,504.1,508.25,5081100.0,2577322496.0
2026-04-13 11:00:00+08:00,508.74,512.56,506.8,511.0,2649300.0,1348863104.0
2026-04-13 11:30:00+08:00,510.94,511.08,507.3,508.5,1877400.0,955496640.0
2026-04-13 13:30:00+08:00,508.61,513.9,506.61,513.48,2396400.0,1221461504.0
2026-04-13 14:00:00+08:00,513.48,516.88,512.3,516.28,2797100.0,1440547968.0
2026-04-13 14:30:00+08:00,516.18,517.5,513.01,513.75,2114200.0,1088794112.0
2026-04-13 15:00:00+08:00,513.8,513.85,511.84,512.72,3028200.0,1552375552.0
2026-04-14 10:00:00+08:00,522.94,526.88,516.88,526.6,11083300.0,5798349824.0
2026-04-14 10:30:00+08:00,526.63,532.38,526.59,530.75,4699600.0,2489056256.0
2026-04-14 11:00:00+08:00,530.48,538.9,529.89,533.62,4743400.0,2542348544.0
2026-04-14 11:30:00+08:00,533.66,533.99,530.6,530.98,2231200.0,1187132288.0
2026-04-14 13:30:00+08:00,530.97,530.97,515.08,516.05,5831200.0,3038473728.0
2026-04-14 14:00:00+08:00,516.96,523.33,515.0,520.04,3362900.0,1745462528.0
2026-04-14 14:30:00+08:00,520.03,520.5,515.0,516.42,3202100.0,1654043264.0
2026-04-14 15:00:00+08:00,516.93,521.49,516.07,520.0,3620100.0,1879931136.0
2026-04-15 10:00:00+08:00,525.02,534.0,521.0,523.95,12157900.0,6411583488.0
2026-04-15 10:30:00+08:00,523.13,525.58,516.0,519.89,4275700.0,2223841280.0
2026-04-15 11:00:00+08:00,519.89,520.32,511.27,511.27,4212100.0,2169490944.0
2026-04-15 11:30:00+08:00,511.4,516.15,511.0,513.84,2332100.0,1195795200.0
2026-04-15 13:30:00+08:00,513.99,514.66,501.13,501.77,5825900.0,2954346496.0
2026-04-15 14:00:00+08:00,502.27,502.78,498.23,501.06,4986600.0,2493132288.0
2026-04-15 14:30:00+08:00,501.37,501.48,492.0,495.77,6436600.0,3186664192.0
2026-04-15 15:00:00+08:00,495.74,498.0,490.02,496.98,5837700.0,2879426048.0
2026-04-16 10:00:00+08:00,497.0,515.5,496.0,515.1,13017400.0,6598022656.0
2026-04-16 10:30:00+08:00,515.05,520.88,514.83,517.3,5988800.0,3106313472.0
2026-04-16 11:00:00+08:00,517.01,530.0,517.01,529.97,4902800.0,2567736320.0
2026-04-16 11:30:00+08:00,529.96,535.99,529.01,531.58,5050200.0,2689225216.0
2026-04-16 13:30:00+08:00,531.58,532.51,527.0,529.38,2670100.0,1413458176.0
2026-04-16 14:00:00+08:00,529.49,536.66,529.38,536.07,3311900.0,1769303808.0
2026-04-16 14:30:00+08:00,536.09,536.22,533.02,534.04,1721200.0,920400256.0
2026-04-16 15:00:00+08:00,534.04,539.93,534.04,537.5,5197900.0,2791160576.0
2026-04-17 10:00:00+08:00,550.0,585.58,542.03,573.0,17485600.0,9834884096.0
2026-04-17 10:30:00+08:00,573.0,580.8,569.79,579.8,5771000.0,3315406592.0
2026-04-17 11:00:00+08:00,579.37,586.68,572.0,585.35,3635800.0,2106874624.0
2026-04-17 11:30:00+08:00,585.36,588.0,578.02,578.66,2750000.0,1605212928.0
2026-04-17 13:30:00+08:00,578.6,588.0,575.0,584.52,3353700.0,1951556864.0
2026-04-17 14:00:00+08:00,584.37,587.6,580.33,586.58,1793200.0,1047603776.0
2026-04-17 14:30:00+08:00,586.57,589.98,585.0,586.0,2375300.0,1395513472.0
2026-04-17 15:00:00+08:00,585.98,589.0,584.71,589.0,4454900.0,2616588288.0
