date,open,high,low,close,volume,amount
2025-07-01 00:00:00+08:00,125.03,128.8,124.89,127.2,289896.0,3681489920.0
2025-07-02 00:00:00+08:00,124.92,125.58,121.3,124.98,350244.0,4332558336.0
2025-07-03 00:00:00+08:00,127.42,130.97,126.05,129.66,457259.0,5870692864.0
2025-07-04 00:00:00+08:00,129.82,132.28,127.33,128.35,439030.0,5717581824.0
2025-07-07 00:00:00+08:00,126.5,128.89,121.4,126.49,407600.0,5100394496.0
2025-07-08 00:00:00+08:00,126.48,135.0,126.05,134.98,478314.0,6310094336.0
2025-07-09 00:00:00+08:00,134.55,137.97,134.01,135.55,358956.0,4885000192.0
2025-07-10 00:00:00+08:00,137.55,138.58,129.35,133.05,525018.0,6987313152.0
2025-07-11 00:00:00+08:00,134.29,134.35,130.05,131.16,318894.0,4207384320.0
2025-07-14 00:00:00+08:00,132.5,133.1,129.38,130.9,303612.0,3987133952.0
2025-07-15 00:00:00+08:00,149.02,157.08,148.28,157.08,525323.0,8097611264.0
2025-07-16 00:00:00+08:00,161.71,179.28,161.0,169.8,1149386.0,19663974400.0
2025-07-17 00:00:00+08:00,167.01,185.0,167.01,183.5,677761.0,12063486976.0
2025-07-18 00:00:00+08:00,186.5,191.0,180.0,182.32,643489.0,11974587392.0
2025-07-21 00:00:00+08:00,184.83,186.6,173.79,178.26,606420.0,10816017408.0
2025-07-22 00:00:00+08:00,178.27,184.2,174.83,176.71,562958.0,10098102272.0
2025-07-23 00:00:00+08:00,172.61,175.55,169.8,174.2,431956.0,7479016960.0
2025-07-24 00:00:00+08:00,176.71,177.33,167.59,172.8,526642.0,9043031040.0
2025-07-25 00:00:00+08:00,172.3,175.73,172.2,172.97,286816.0,4975181312.0
2025-07-28 00:00:00+08:00,172.96,179.76,170.18,177.8,647447.0,11370187776.0
2025-07-29 00:00:00+08:00,178.27,194.43,178.23,193.39,775884.0,14504169472.0
2025-07-30 00:00:00+08:00,188.0,192.37,183.83,190.35,571081.0,10736773120.0
2025-07-31 00:00:00+08:00,199.0,200.88,188.1,189.21,749111.0,14604518400.0
